age,attrition,dept,education,gender,job_role,isMarried,monthly_income,companies_worked,OverTime,working_years,year_at_company,years_in_current_pos,last_year_promoted,years_with_current_manager
41,Yes,Sales,2,Female,Sales Executive,Single,5993,8,Yes,8,6,4,0,5
49,No,Research & Development,1,Male,Research Scientist,Married,5130,1,No,10,10,7,1,7
37,Yes,Research & Development,2,Male,Laboratory Technician,Single,2090,6,Yes,7,0,0,0,0
33,No,Research & Development,4,Female,Research Scientist,Married,2909,1,Yes,8,8,7,3,0
27,No,Research & Development,1,Male,Laboratory Technician,Married,3468,9,No,6,2,2,2,2
32,No,Research & Development,2,Male,Laboratory Technician,Single,3068,0,No,8,7,7,3,6
59,No,Research & Development,3,Female,Laboratory Technician,Married,2670,4,Yes,12,1,0,0,0
30,No,Research & Development,1,Male,Laboratory Technician,Divorced,2693,1,No,1,1,0,0,0
38,No,Research & Development,3,Male,Manufacturing Director,Single,9526,0,No,10,9,7,1,8
36,No,Research & Development,3,Male,Healthcare Representative,Married,5237,6,No,17,7,7,7,7
35,No,Research & Development,3,Male,Laboratory Technician,Married,2426,0,No,6,5,4,0,3
29,No,Research & Development,2,Female,Laboratory Technician,Single,4193,0,Yes,10,9,5,0,8
31,No,Research & Development,1,Male,Research Scientist,Divorced,2911,1,No,5,5,2,4,3
34,No,Research & Development,2,Male,Laboratory Technician,Divorced,2661,0,No,3,2,2,1,2
28,Yes,Research & Development,3,Male,Laboratory Technician,Single,2028,5,Yes,6,4,2,0,3
29,No,Research & Development,4,Female,Manufacturing Director,Divorced,9980,1,No,10,10,9,8,8
32,No,Research & Development,2,Male,Research Scientist,Divorced,3298,0,Yes,7,6,2,0,5
22,No,Research & Development,2,Male,Laboratory Technician,Divorced,2935,1,Yes,1,1,0,0,0
53,No,Sales,4,Female,Manager,Married,15427,2,No,31,25,8,3,7
38,No,Research & Development,3,Male,Research Scientist,Single,3944,5,Yes,6,3,2,1,2
24,No,Research & Development,2,Female,Manufacturing Director,Divorced,4011,0,No,5,4,2,1,3
36,Yes,Sales,4,Male,Sales Representative,Single,3407,7,No,10,5,3,0,3
34,No,Research & Development,4,Female,Research Director,Single,11994,0,No,13,12,6,2,11
21,No,Research & Development,2,Male,Research Scientist,Single,1232,1,No,0,0,0,0,0
34,Yes,Research & Development,1,Male,Research Scientist,Single,2960,2,No,8,4,2,1,3
53,No,Research & Development,3,Female,Manager,Divorced,19094,4,No,26,14,13,4,8
32,Yes,Research & Development,1,Female,Research Scientist,Single,3919,1,Yes,10,10,2,6,7
42,No,Sales,4,Male,Sales Executive,Married,6825,0,No,10,9,7,4,2
44,No,Research & Development,4,Female,Healthcare Representative,Married,10248,3,No,24,22,6,5,17
46,No,Sales,4,Female,Manager,Single,18947,3,No,22,2,2,2,1
33,No,Research & Development,3,Male,Laboratory Technician,Single,2496,4,No,7,1,1,0,0
44,No,Research & Development,4,Male,Healthcare Representative,Married,6465,2,Yes,9,4,2,1,3
30,No,Research & Development,2,Male,Laboratory Technician,Single,2206,1,No,10,10,0,1,8
39,Yes,Sales,3,Male,Sales Representative,Married,2086,3,No,19,1,0,0,0
24,Yes,Research & Development,3,Male,Research Scientist,Married,2293,2,Yes,6,2,0,2,0
43,No,Research & Development,2,Female,Research Scientist,Divorced,2645,1,No,6,5,3,1,4
50,Yes,Sales,2,Male,Sales Representative,Married,2683,1,Yes,3,3,2,0,2
35,No,Sales,3,Female,Sales Representative,Married,2014,1,No,2,2,2,2,2
36,No,Research & Development,4,Female,Research Scientist,Married,3419,9,Yes,6,1,1,0,0
33,No,Sales,3,Female,Sales Executive,Married,5376,2,No,10,5,3,1,3
35,No,Research & Development,2,Male,Laboratory Technician,Divorced,1951,1,No,1,1,0,0,0
27,No,Research & Development,4,Female,Laboratory Technician,Divorced,2341,1,No,1,1,0,0,0
26,Yes,Research & Development,3,Male,Laboratory Technician,Single,2293,1,No,1,1,0,0,1
27,No,Sales,3,Male,Sales Executive,Single,8726,1,No,9,9,8,1,7
30,No,Research & Development,2,Female,Laboratory Technician,Single,4011,1,No,12,12,8,3,7
41,Yes,Research & Development,3,Female,Research Director,Married,19545,1,No,23,22,15,15,8
34,No,Sales,4,Male,Sales Executive,Single,4568,0,No,10,9,5,8,7
37,No,Research & Development,2,Male,Research Scientist,Married,3022,4,No,8,1,0,0,0
46,No,Sales,4,Male,Sales Executive,Single,5772,4,Yes,14,9,6,0,8
35,No,Research & Development,1,Male,Laboratory Technician,Married,2269,1,No,1,1,0,0,1
48,Yes,Research & Development,2,Male,Laboratory Technician,Single,5381,9,Yes,23,1,0,0,0
28,Yes,Research & Development,4,Male,Laboratory Technician,Single,3441,1,Yes,2,2,2,2,2
44,No,Sales,5,Female,Sales Executive,Divorced,5454,5,Yes,9,4,3,1,3
35,No,Research & Development,2,Male,Healthcare Representative,Married,9884,2,Yes,10,4,0,2,3
